Height,Shoesize,Armspan,Cubit,Attract,CDs,Miles,Work,Change,Sex,Live,Class,Birth,Grade,Tongue
66,9,64,,8,14,24,27,0.47,f,apartment,Sophomore,Ottawa County,B,yes
64,10,56.5,,5,30,35,0,0,f,apartment,Sophomore,Ottawa County,B,yes
64.75,9.5,66,17.75,6,2,10,25,0,f,family home,Sophomore,Ottawa County,B,yes
68,11.5,64,,6,20,5,30,0,m,family home,Sophomore,Ottawa County,B,yes
76,13,72,,5,20,5,40,0.35,m,family home,Sophomore,Ottawa County,B,yes
70,11,65.375,,7,23,0,22.5,0.1,f,campus housing,Junior,Ottawa County,B,yes
70.5,11.5,68,,9,30,10,10,0,m,other,Junior,Ottawa County,B,yes
61,8,59,,5,75,0.5,25,0,f,campus housing,Freshman,Michigan,B,yes
61,9.25,63,15,7,13,0,0,1.85,f,campus housing,Freshman,Michigan,B,yes
63,10,54.25,,7,35,180,0,0,f,campus housing,Freshman,Michigan,B,yes
75,11,74,,5,10,0,0,0,m,campus housing,Freshman,Michigan,B,yes
65,11.5,68,,10,20,0,0,0.89,f,campus housing,Freshman,Michigan,B,yes
70,12,69,18,7,0,0,0,63,m,campus housing,Freshman,Michigan,B,yes
68,12.25,67,,7,0,1,0,0,m,apartment,Freshman,Michigan,B,yes
67,11.25,68,,7,90,25,40,0,m,family home,Freshman,Michigan,B,yes
64,9,63.75,,5,4,0,28,0.63,f,campus housing,Sophomore,Michigan,B,yes
64,9.25,65,,5,10,15,0,0,f,campus housing,Sophomore,Michigan,B,yes
62.5,9.5,63,16,7.5,20,0,15,2.46,f,campus housing,Sophomore,Michigan,B,yes
64.5,10,61,16.5,,15,0,16,2.37,f,campus housing,Sophomore,Michigan,B,yes
62,10.5,64.25,17,7.4,6,0,20,0,f,campus housing,Sophomore,Michigan,B,yes
69,10.5,61,,5,50,0,0,0.5,f,campus housing,Sophomore,Michigan,B,yes
71,11,72,,6,10,0,0,0,m,campus housing,Sophomore,Michigan,B,yes
67,12,63,,5,50,0,0,0.14,m,campus housing,Sophomore,Michigan,B,yes
64,7.5,62.25,,7,80,0.5,12,2.5,f,apartment,Sophomore,Michigan,B,yes
63,8.5,53,15,6,3,30,20,0.85,f,apartment,Sophomore,Michigan,B,yes
62.5,9.5,60,,8,20,1,0,0,f,apartment,Sophomore,Michigan,B,yes
63,9.5,63,16,6,25,2.5,0,0,f,apartment,Sophomore,Michigan,B,yes
66,10,63,,7,30,1,0,0,f,apartment,Sophomore,Michigan,B,yes
68,10,66.5,,8,5,2,0,0.25,f,apartment,Sophomore,Michigan,B,yes
63,10.25,61.25,,10,40,3,25,0,f,apartment,Sophomore,Michigan,B,yes
64,10.25,66,,9,10,0,9,0,f,apartment,Sophomore,Michigan,B,yes
64,10.25,61,16,6,7,17,0,0.85,f,apartment,Sophomore,Michigan,B,yes
